Timestamp,ID,Condition,1. Interested,2. Distressed,3. Excited,4. Upset,5. Strong,6. Guilty,7. Scared,8. Hostile,9. Enthusiastic,10. Proud,11. Irritable,12. Alert,13. Ashamed,14. Inspired,15. Nervous,16. Determined,17. Attentive,18. Jittery,19. Active,20. Afraid,1. Interested,2. Distressed,3. Excited,4. Upset,5. Strong,6. Guilty,7. Scared,8. Hostile,9. Enthusiastic,10. Proud,11. Irritable,12. Alert,13. Ashamed,14. Inspired,15. Nervous,16. Determined,17. Attentive,18. Jittery,19. Active,20. Afraid,1. Interested,2. Distressed,3. Excited,4. Upset,5. Strong,6. Guilty,7. Scared,8. Hostile,9. Enthusiastic,10. Proud,11. Irritable,12. Alert,13. Ashamed,14. Inspired,15. Nervous,16. Determined,17. Attentive,18. Jittery,19. Active,20. Afraid
21/10/16,Ew1,Mw-SNH,4,1,2,1,1,1,1,1,3,2,1,1,1,4,2,2,3,1,2,1,4,1,1,1,1,1,1,1,4,1,1,2,1,3,1,3,3,1,3,1,4,1,3,1,1,1,1,1,4,2,1,3,1,4,1,4,4,1,4,1
1/25/2017 16:33:00,Ew7,Mw-SNH,4,1,3,1,4,1,1,1,4,4,1,3,1,5,1,4,4,1,5,1,4,1,3,1,4,1,1,1,3,3,2,4,1,4,2,4,4,1,5,1,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1
1/27/2017 13:36:17,Ew8,Mw-HNS,4,2,3,1,4,2,1,1,4,3,3,5,1,4,3,4,4,3,4,1,3,2,2,2,1,1,1,1,4,3,3,4,2,3,2,4,4,3,4,1,4,3,2,3,2,2,2,1,2,3,2,3,3,2,2,3,4,3,3,2
1/31/2017 17:22:43,Ew13,Mw-SNH,1,2,1,2,1,2,2,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,3,1,2,1,3,1,2,1,1,1,3,2,1,3,1,2,1,1,3,1,4,1
2/1/2017 11:27:55,Ew14,Mw-HNS,4,2,3,1,3,2,2,2,3,3,2,4,1,4,2,3,4,2,4,2,4,2,4,1,4,1,2,2,3,3,1,4,1,4,2,3,3,2,4,2,4,2,3,1,3,1,2,2,3,3,2,4,1,3,2,4,4,2,4,2
2/7/2017 11:24:56,Ew19,Mw-SNH,3,3,4,3,3,2,2,2,3,4,2,3,2,3,4,3,4,3,4,2,4,3,4,2,3,2,1,1,4,4,1,2,1,4,2,3,2,3,4,2,3,2,4,1,3,1,1,1,4,3,2,2,1,4,2,3,3,2,4,1
2/7/2017 17:31:54,Ew20,Mw-HNS,4,2,3,2,3,1,2,3,3,3,2,4,2,4,3,4,3,3,4,2,2,1,2,1,3,1,1,2,2,3,3,2,2,3,1,4,3,3,4,2,2,1,2,1,3,1,1,2,2,2,3,2,1,2,1,1,2,2,3,1
2/10/2017 17:22:18,Ew25,Mw-SNH,4,2,3,2,3,1,1,2,3,5,3,3,1,4,4,5,4,4,5,1,3,2,5,1,5,2,1,3,4,5,2,4,1,5,2,5,4,3,4,1,4,1,3,1,3,1,1,2,3,2,1,3,1,3,2,2,3,2,3,1
2/13/2017 11:27:08,Ew26,Mw-HNS,3,3,2,2,2,1,3,2,2,2,2,5,3,3,5,2,4,3,3,3,4,3,3,2,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,3,2,4,2,3,2,3,3,2,3,2
2/16/2017 15:31:40,Ew31,Mw-SNH,4,1,2,1,1,1,1,1,3,2,1,1,1,3,1,3,3,3,3,1,3,1,3,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,3,1,3,1,3,1,1,1,1,1,3,1,1,1,1,2,1,1,2,1,2,1
2/16/2017 17:27:43,Ew32,Mw-HNS,4,1,3,1,4,1,1,1,4,5,2,2,1,3,1,1,1,2,3,1,4,1,2,1,4,1,1,1,3,4,1,3,1,4,3,4,3,1,3,1,4,1,2,1,4,1,1,1,4,4,1,4,1,3,2,4,4,1,4,1
2/20/2017 16:19:26,Ew37,Mw-SNH,2,3,1,2,1,1,4,1,1,1,1,4,2,1,5,3,2,5,4,5,1,4,1,1,1,1,4,3,1,1,2,5,1,1,4,4,3,4,4,3,1,2,1,2,1,1,3,1,1,1,1,5,1,1,4,1,3,4,3,4
2/20/2017 17:41:41,Ew38,Mw-HNS,4,1,3,1,2,1,1,1,4,4,1,3,1,2,1,3,3,3,2,1,4,1,3,1,2,1,1,1,3,4,1,3,1,3,1,3,3,3,2,1,3,1,3,1,2,1,1,1,3,3,1,2,1,3,1,3,3,3,2,1
2/22/2017 17:25:24,Ew43,Mw-SNH,5,1,3,1,3,1,1,1,4,3,1,4,1,3,1,3,5,1,4,1,5,1,4,1,3,1,1,1,4,3,1,5,1,4,1,5,5,1,5,1,5,1,5,1,3,1,1,1,4,4,1,5,1,5,1,5,5,1,5,1
2/23/2017 11:39:07,Ew44,Mw-HNS,4,1,3,2,4,1,1,1,3,4,1,3,1,4,1,3,3,1,3,1,3,2,2,2,3,1,1,1,3,3,2,3,1,2,1,3,3,1,3,1,4,2,4,1,4,1,1,1,4,4,1,4,1,3,1,4,3,1,4,1
2/28/2017 11:49:18,Ew49,Mw-SNH,3,1,2,1,3,3,1,1,2,4,1,1,2,4,1,1,1,2,1,2,4,2,3,1,4,1,1,1,3,4,1,1,1,3,1,2,1,1,4,1,5,1,4,1,4,1,1,1,4,3,1,1,1,4,1,3,2,1,4,1


Condition
Mo - Watch movie and then walk
Mu - Listen to music and then walk
Mw - Listen to music while walking

Emotions
S - Sad
N - Neutral
H - Happy

SNH: Sad-Neutral-Happy
HNS: Happy-Neutral-Sad
