PARTICIPANT ID,CONDITION,AGE,SEX,START W,END W,START W,END W,START W,END W
EW2,Mo-SNH,23,F,13.16.29,13.19.41,13.25.17,13.28.30,13.32.27,13.35.34
EW3,Mo-SNH,37,F,14.29.09,14.32.21,14.38.01,14.41.14,14.44.51,14.47.56
EW4,Mo-HNS,28,F,11.28.26,11.31.06,11.36.03,11.38.40,11.43.14,11.45.52
EW5,Mu-SNH,31,M,16.21.16,16.24.49,16.30.00,16.33.41,16.38.40,16.42.14
EW6,Mu-HNS,27,F,19.18.54,19.22.06,19.27.21,19.30.40,19.35.53,19.39.17
EW7,Mw-SNH,34,F,00.18.06,00.21.51,00.23.54,00.27.30,00.28.49,00.32.05
EW8,Mw-HNS,28,F,13.20.37,13.24.47,13.26.40,13.30.22,13.31.35,13.35.17
EW9,Mo-SNH,23,F,16.20.27,16.24.04,16.30.27,16.33.54,16.38.25,16.41.50
EW10,Mo-HNS,21,F,10.15.15,10.18.16,10.22.56,10.25.58,10.30.27,10.33.28
EW12,Mu-HNS,21,F,15.15.32,15.18.40,15.23.41,15.26.44,15.31.40,15.34.47
EW13,Mw-SNH,18,F,17.09.18,17.12.41,17.13.59,17.17.20,17.18.32,17.21.52
EW14,Mw-HNS,21,F,11.13.08,11.16.42,11.18.17,11.21.59,11.23.21,11.26.59
EW15,Mo-SNH,19,F,14.27.10,14.30.43,14.35.49,14.39.20,14.43.55,14.47.16
EW16,Mo-HNS,28,F,10.23.48,10.26.40,10.31.47,10.34.40,10.38.29,10.41.12
EW17,Mu-SNH,25,M,12.45.00,12.48.24,12.53.13,12.56.39,13.01.34,13.04.50
EW19,Mw-SNH,22,M,11.11.20,11.14.36,11.16.24,11.19.32,11.20.55,11.24.00
EW20,Mw-HNS,20,F,17.15.35,17.19.52,17.21.51,17.25.49,17.27.18,17.30.03
EW22,Mo-HNS,24,M,11.14.09,11.16.51,11.21.24,11.24.09,11.28.25,11.31.21
EW23,Mu-SNH,21,M,17.16.08,17.19.03,17.24.27,17.27.24,17.32.50,17.35.48
EW24,Mu-HNS,19,F,11.15.06,11.18.17,11.23.03,11.26.17,11.31.30,11.34.36
EW25,Mw-SNH,20,F,17.10.11,17.13.10,17.14.24,17.17.26,17.18.27,17.21.36
EW26,Mw-HNS,25,M,11.14.27,11.17.22,11.18.52,11.21.50,11.23.05,11.26.05
EW27,Mo-SNH,20,F,18.17.54,18.22.21,18.27.15,18.31.38,18.35.47,18.40.16
EW28,Mo-HNS,26,F,15.18.44,15.22.06,15.26.58,15.30.20,15.34.55,15.38.19
EW29,Mu-SNH,20,F,17.29.39,17.32.57,17.38.31,17.41.50,17.46.54,17.50.22
EW30,Mu-HNS,19,F,18.13.57,18.17.36,18.22.07,18.25.31,18.29.48,18.33.12
EW31,Mw-SNH,23,F,15.17.21,15.20.42,15.22.42,15.25.43,15.27.12,15.30.53
EW33,Mo-SNH,21,F,18.20.21,18.24.08,18.28.46,18.32.03,18.35.37,18.38.34
EW34,Mo-HNS,18,F,11.30.25,11.33.31,11.40.11,11.43.26,11.48.47,11.52.18
EW35,Mu-SNH,19,F,18.22.29,18.25.40,18.30.14,18.33.31,18.38.02,18.40.59
EW36,Mu-HNS,20,F,11.10.31,11.13.33,11.18.21,11.21.23,11.26.08,11.29.12
EW37,Mw-SNH,19,F,16.06.25,16.09.33,16.10.58,16.14.06,16.15.27,16.18.35
EW38,Mw-HNS,20,F,17.26.58,17.30.40,17.32.40,17.36.08,17.37.23,17.40.59
EW39,Mo-SNH,18,F,16.12.33,16.15.38,16.20.37,16.23.42,16.28.04,16.31.09
EW40,Mo-HNS,25,F,17.39.02,17.42.28,17.48.50,17.52.04,17.57.28,18.00.42
EW41,Mu-SNH,24,F,11.14.27,11.17.41,11.22.27,11.25.37,11.30.05,11.33.19
EW42,Mu-HNS,18,F,16.11.12,16.14.45,16.19.37,16.23.08,16.28.16,16.31.42
EW43,Mw-SNH,18,F,17.12.34,17.15.53,17.17.04,17.20.21,17.21.23,17.24.41
EW44,Mw-HNS,24,F,11.24.26,11.27.39,11.29.28,11.32.41,11.34.43,11.38.02
EW45,Mo-SNH,24,F,14.12.59,14.16.11,14.21.06,14.24.21,14.28.10,14.31.19
EW47,Mu-SNH,33,F,11.27.28,11.30.42,11.38.16,11.41.35,11.46.20,11.49.38
EW48,Mu-HNS,27,F,14.19.52,14.22.53,14.27.32,14.30.27,14.35.19,14.38.15
EW49,Mw-SNH,19,F,11.33.35,11.37.04,11.40.14,11.43.43,11.45.10,11.48.18
EW50,Mo-HNS,23,M,12.12.45,12.15.52,12.22.44,12.25.46,12.31.32,12.34.34
